# Pure Hydrogen Grid from http://www.astro.umontreal.ca/~bergeron/CoolingModels/
# Teff,log g,Mass,Abs V,BCv,Abs Bol,Abs G
9000,8.5,0.918,13.357,-0.288,13.068,13.304
9500,8.5,0.919,13.161,-0.328,12.833,13.124
10000,8.5,0.919,12.977,-0.368,12.609,12.957
10500,8.5,0.92,12.808,-0.412,12.396,12.804
11000,8.5,0.921,12.661,-0.467,12.193,12.669
11500,8.5,0.922,12.537,-0.537,12,12.555
12000,8.5,0.922,12.432,-0.618,11.814,12.458
12500,8.5,0.923,12.342,-0.707,11.636,12.375
13000,8.5,0.924,12.271,-0.806,11.465,12.308
13500,8.5,0.924,12.216,-0.916,11.3,12.256
14000,8.5,0.925,12.163,-1.022,11.141,12.205
14500,8.5,0.926,12.106,-1.118,10.988,12.149
15000,8.5,0.926,12.049,-1.209,10.84,12.092
15500,8.5,0.927,11.993,-1.296,10.697,12.035
16000,8.5,0.927,11.939,-1.38,10.558,11.979
16500,8.5,0.928,11.887,-1.463,10.424,11.924
17000,8.5,0.929,11.837,-1.543,10.294,11.871
20000,8.5,0.932,11.562,-1.978,9.584,11.581
25000,8.5,0.938,11.165,-2.557,8.608,11.165
30000,8.5,0.944,10.79,-2.981,7.81,10.77
35000,8.5,0.954,10.493,-3.365,7.128,10.457
40000,8.5,0.96,10.306,-3.765,6.541,10.261
45000,8.5,0.966,10.169,-4.146,6.023,10.119
50000,8.5,0.972,10.059,-4.5,5.559,10.005
55000,8.5,0.977,9.965,-4.826,5.14,9.908
60000,8.5,0.982,9.882,-5.126,4.756,9.823
65000,8.5,0.987,9.807,-5.405,4.403,9.746
70000,8.5,0.992,9.739,-5.663,4.076,9.676
75000,8.5,0.997,9.675,-5.904,3.77,9.61
80000,8.5,1.002,9.615,-6.13,3.485,9.549
85000,8.5,1.006,9.559,-6.342,3.217,9.492
90000,8.5,1.011,9.506,-6.542,2.964,9.438
2500,9,1.194,19.137,0.459,19.596,19.061
2750,9,1.194,18.913,0.269,19.182,18.7
3000,9,1.194,18.703,0.101,18.804,18.373
3250,9,1.194,18.538,-0.081,18.457,18.095
3500,9,1.194,18.282,-0.147,18.135,17.829
3750,9,1.194,18.061,-0.226,17.835,17.605
4000,9,1.194,17.829,-0.274,17.555,17.396
4250,9,1.194,17.585,-0.294,17.292,17.187
4500,9,1.194,17.33,-0.287,17.043,16.973
4750,9,1.194,17.069,-0.26,16.808,16.75
5000,9,1.194,16.803,-0.217,16.586,16.521
5250,9,1.194,16.544,-0.17,16.374,16.296
5500,9,1.194,16.299,-0.128,16.171,16.08
6000,9,1.195,15.87,-0.077,15.793,15.694
6500,9,1.195,15.519,-0.074,15.445,15.374
7000,9,1.196,15.227,-0.104,15.123,15.104
7500,9,1.196,14.971,-0.148,14.823,14.868
8000,9,1.196,14.74,-0.197,14.543,14.653
8500,9,1.196,14.526,-0.246,14.279,14.455
9000,9,1.196,14.325,-0.295,14.031,14.27
9500,9,1.197,14.137,-0.341,13.796,14.097
10000,9,1.197,13.959,-0.386,13.573,13.934
